citation_id	citation_target_id	citation_target_type	citation_type	citation_type_iri	citation_type_vocabulary	bibliographic_citation	page_number	reference_id	reference_type	reference_type_iri	reference_type_vocabulary	reference_year	is_peer_reviewed	citation_remarks
1aa7ef9a-fe3e-4686-918c-d97b025665c1	8694bb8175bfd1c80343f0e7e2f6bd5fe0cd344d	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
5faad4b8-2b27-48b6-bb1b-22ab16aa9fd3	8694bb8175bfd1c80343f0e7e2f6bd5fe0cd344d	Protocol	OTHER			Ortega Corona, A., et al. 2010. Proyecto FZ016: Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México. Segunda Etapa 2008-2009. Informe final de actividades 2008-2009 del estado de Aguascalientes		5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER			2010	f	
97fa8ed4-3ac0-4f40-8f21-4e75028dbc6b	432908fe9af9de47c0d699faf91e7a0b4ef6b05d	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
9833e78d-90f6-453f-ace9-c8bdcf8dec8a	432908fe9af9de47c0d699faf91e7a0b4ef6b05d	Protocol	OTHER			García Holguín M. R. et al. 2010. Proyecto FZ016: Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México. Segunda etapa 2008-2009. DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DE LOS MAÍCES NATIVOS EN CHIHUAHUA. Informe final de actividades 2009-2010. Preparado para la Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO) y para el Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias		50d2c3c883d94633111d30a9e13e982731665ed9	OTHER			2010	f	
432883b6-430a-4379-82da-9509cd522382	8b8da26fe48d3a9f0cf8b661901dc330b0806e7d	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
3c42ffcc-d462-4ae6-ba37-ee602a7df26d	8b8da26fe48d3a9f0cf8b661901dc330b0806e7d	Protocol	OTHER			Hernandez Casillas, J. M. 2010. “CONOCIMIENTO DE LA DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DEL MAÍZ NATIVO Y SUS PARIENTES SILVESTRES EN MÉXICO, SEGUNDA ETAPA 2008-2009. Informe final proyecto FZ016 Estado de Mexico y DF		a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER			2010	f	
103b1b84-1703-435c-92ae-a5cf9e0589ad	9e17e716187625b836571685ef11c7b200e97496	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
25652dbe-1037-41d8-ad31-a147f9570af3	9e17e716187625b836571685ef11c7b200e97496	Protocol	OTHER			Ortega Corona, A., et al. 2010. Proyecto FZ016: Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México. Segunda Etapa 2008-2009. Informe final de actividades 2008-2009 del estado de Durango		ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER			2010	f	
a495ebeb-3270-406c-8f43-49b51c18be04	b8f1b6bc207f94b86af01561a5c0690b1c18be20	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
d3a89c53-0b1f-459e-9182-995cc7edf7e3	b8f1b6bc207f94b86af01561a5c0690b1c18be20	Protocol	OTHER			Sierra Macías, M., et al. 2010. CONOCIMIENTO DE LA DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DEL MAÍZ NATIVO Y SUS PARIENTES SILVESTRES EN MÉXICO, SEGUNDA ETAPA 2008-2009. Informe final Proyecto FZ016 Golfo Centro		b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER			2010	f	
91001e3c-8706-40f6-a3c8-274d707b0ccb	39876ce1dbf8971a5f6dbf438f30194f9aa48eaf	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
9f34dc25-06c7-41e3-a695-a6f313b975bc	39876ce1dbf8971a5f6dbf438f30194f9aa48eaf	Protocol	OTHER			Perez Camarillo, J. P., et al. 2010. PROYECTO FZ016: CONOCIMIENTO DE LA DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DE MAÍZ NATIVO Y SUS PARIENTES SILVESTRES DE MÉXICO. SEGUNDA ETAPA 2008-2009. DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DE LOS MAÍCES NATIVOS EN EL ESTADO DE HIDALGO. Informe Final de Actividades 2008-2009 del Proyecto FZ016 para el Estado de Hidalgo		373db5500b309f52c5a3dc5c391b89b1a424ab14	OTHER			2010	f	
74e736ee-16cd-4df7-abfd-9ffd0ea02b7d	1413f2d5c9d948e37c8942537e949218445cfa2b	Protocol	OTHER			Proyecto Global de Maíces Nativos. Anexo 7 Guía de colecta.		45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER				f	
754bd7ee-bb44-476e-8905-9d71efcfba17	1413f2d5c9d948e37c8942537e949218445cfa2b	Protocol	OTHER			Preciado Ortiz, R. 2010. CONOCIMIENTO DE LA DIVERSIDAD Y DISTRIBUCIÓN ACTUAL DEL MAÍZ NATIVO Y SUS PARIENTES SILVESTRES EN MÉXICO, SEGUNDA ETAPA 2008-2009. Informe Final Proyecto FZ016 Guanajuato, Querétaro y Michoacán		ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER			2010	f	
c3248ecd-322d-47a7-a182-4ada70f40429	fb4698af2879ed603929856a7317f79553ae7d70	Protocol	OTHER			Ortega Corona, A.  et al. 2010. Proyecto FZ016: Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México. Segunda etapa 2008-2009. Informe final de actividades 2008-2009 del proyecto FZ016 para la Península de Baja Califormina y el Valle del Yaqui, Sonora		8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER			2010	f	
