occurrence_id	organism_quantity	organism_quantity_type	organism_quantity_type_iri	organism_quantity_type_vocabulary	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	occurrence_status	occurrence_remarks	organism_id	organism_scope	organism_scope_iri	organism_scope_vocabulary	organism_name	organism_remarks
e8ef43ccbeaa3bef7fefd8f9ebc25d3a														Present	Consiguió la semilla con su suegro Don Vicente Hernández Morales el señor de las colectas 389-390 y 391	d70d8db7931bbb7b6cd417b455bc1924	Multicellular Organism				
49c56f4ca0d0fe24b17c1a8bd7032a40														Present		d71d0dc4e178621bfaf8d2faf1c5e304	Multicellular Organism				
837804519d3647945d0d55ab55801295														Present	Para mantener a tantos criollos, trabajan de manera conjunta los hijos del productor, Fernando, Fausto y Guillermo Caguare Ramos. Colectar en noviembre de 2009	d74520a623448694db297097de816cfd	Multicellular Organism				
5312f532a4bca17f6681449a36033d9c														Present		d7bc3d86b2035500529f6594185f6502	Multicellular Organism				
55235114b41da3942b8383a0347089f4														Present	Criollo Conejo X Tepecintle	d7f6f8e5d0caea89497cfff5b0c8bcc0	Multicellular Organism				
c6749ea771dd5e795c5eb17f45f8511d														Present		d7fc387f8772ae8cf52b930f8142bf5e	Multicellular Organism				
3a4a6e923beec7fd920d05e94fb29e10														Present		d8100603b405c20b2d21469e34919e2d	Multicellular Organism				
51b82050771d3930172a48a3c3ed6f98														Present		d812936a5e5ff09e3f8bed631fdd9f12	Multicellular Organism				
375a46f34766a99198c61a4460a1a9f7														Present	Población nada fragmentada	d81eb32be2f101b2bf0a1ad02e260827	Multicellular Organism				
03aa22660b13e7907a79d65a8a0be5f4														Present		d836bdf932e3aba0f74487934e8da5a1	Multicellular Organism				
b0117997e88be7dc4cdf99c3cd5a2999														Present		d83e45b3af0fab12f101886364c9b8e1	Multicellular Organism				
89b3613b396b91ddc21bc54e65d50730														Present		d87d55d42d877806b679831717dbb3f2	Multicellular Organism				
6891ea996d08b770054719bfc6427019														Present		d88839a722c3a886a309003ae0e82c75	Multicellular Organism				
a22a7eb4c00d2e49e3e87ffec6b92c71														Present		d8b27a229d20657a31d4217f82e913ff	Multicellular Organism				
fc37b59ab5c84746222d2e671ffa6f55														Present		d8f5243d250d4edbc0828f17810a174a	Multicellular Organism				
0d2e236486ca1df31dab70cf18adffd4														Present	El maíz latz rinde más de 2 lonas de mazorca y sale una lona en desgrane	d968b657185a6afd6ede6ed80f046c74	Multicellular Organism				
161e9663d0744d5f807f12b1151bb476														Present		d990ba46d2352937826884e7809bb828	Multicellular Organism				
