material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	gathering_event_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
519b0a616c783acb3876a52ee16a7447	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1693			Germoplasma en conservación						b98987e3-7885-49f7-9f3e-c64249340a50					
55dc028d9b5ad103b11ed9a9953ce617	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1694			Germoplasma en conservación						584dd17e-9dfe-4c90-9b50-1a584a777ccd					
568054516618f94c81f81a4e74bab0c8	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5118-NL-38		T 45	Germoplasma en conservación						f97a2b1a-6f5a-4736-b558-5a59475b5d61					
58adb6510d1a2cc56bd97907d3feb738	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1584			Germoplasma en conservación						d1a99b62-8b13-4dce-8542-a9b027ee5cd4					
5a7df86e3e47048ecb4e06270139f147	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1442-DESC-6			Germoplasma en conservación						ffadd1de-1d8c-42b6-9cb8-c82718c38e3f					
5bc2abdad62a5cd5505e28e33342debc	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1725-DGO-265		ALJ 63	Germoplasma en conservación						5cba21c6-4590-4442-b12d-8ceea77bb4c4					
5c486219a8b16981a9fcf99e3dc31585	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7047-SLP-195			Germoplasma en conservación						d6a592e8-1890-42ac-8ed6-b842389ceca2					
5cc4164fbd5c2255537b578b9bcbcb5a	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1453-DESC-18			Germoplasma en conservación						e60488fa-838d-4f41-b19f-62ebe5dfdf3f					
5d20755c472110e6efb13b94c6c41307	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6604-PUE-942		MFB & ARR 424	Germoplasma en conservación						1e43ee8d-fbab-4cd9-8184-40b9e2f8eef2					
619e72ba68a77eabb12844f2fe820683	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7595-TLAX-20		IIA 983	Germoplasma en conservación						8e47f008-be41-400d-8760-1e79b5608c36					
637dda83e5041d5bfb84ffdc1861ab9f	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7044-SLP-192			Germoplasma en conservación						0b5aaa27-bc2d-4a9d-b7db-477628061f9c					
67ec42ab1d7a1bc79fb3e2f841cceb16	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1455-DESC-20			Germoplasma en conservación						cf84f92a-2236-4a06-96a5-a7a17b3dd68f					
68d7e2ea6c29976b9bf1052a1f1de318	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		10319-T.spp-246-34			Germoplasma en conservación						cfe47ba5-2a1e-447b-890e-bddf177c7cc5					
6a0e3734f27c2ec3a39d70e21850b557	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7789-TLAX-214			Germoplasma en conservación						4d0031c6-bd27-4548-a30b-5fbfd675770d					
6e4a504d6b85ac8bdbe8663f4b0fc4cf	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		918-CHIS-683			Germoplasma en conservación						5e52ebef-b99f-4ec3-b1d4-02c6713e399c					
6fa625626cb298b0a4da2d53fb57dbd7	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7263-SON-18			Germoplasma en conservación						4ab7d1f4-44ba-408d-9a15-9516283e17a5					
70f95b4e0bb6d7406819af443d5ad70f	Organism			CIMMYT				CIMMYT		10332-T.spp-7158-1			Germoplasma en conservación						e8fd5825-8c07-45e5-865d-4317c049c09a					
a789ad3d6a8fa7b7949c3e0fe1a05e87	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4356-MICH-228		IIA 379	Germoplasma en conservación						5bc1d9ba-681b-4aa4-ad44-b00b6ef902b1					
7386a5a35c53c0256e079bc843de55ca	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4335-MICH-207			Germoplasma en conservación						5ccec672-c9c4-4073-8e67-0b55c7620c52					
784c129e17b92b48d07d7a846e0fa254	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3431-MEX-33			Germoplasma en conservación						643218f3-9927-42f6-b956-31f0b4b7a8b5					
78bd6f573a71441289ed1801fd21f112	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7752-TLAX-177			Germoplasma en conservación						88e81b36-3f17-42d1-b16c-d4e52b339fd0					
7c3475a91b511430abcd59faa4680f38	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6319-PUE-559			Germoplasma en conservación						00cc1fc7-b042-4dbf-abbe-494b9486d91f					
7eec9ea2375f9bcd809f25b1ed02b0b0	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2469-HGO-8			Germoplasma en conservación						c3d6830c-eee7-4d7b-85e5-5f9b32696313					
7fcd358bcc29493b34b0346dbf519a1a	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7184-SIN-126		EHX 14797	Germoplasma en conservación						87c335a0-f875-4575-bde0-3cdcbba12fd8					
82b7066dcbd4db7139804e42c90cf74b	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7194-SIN-136			Germoplasma en conservación						0be3f817-12de-49bd-b388-06ee159c0a13					
855e8d24bc6758b94de963f2846ecce4	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8160-VER-251			Germoplasma en conservación						8aba7cf4-7a1b-4622-baf6-fe6da3d519ae					
865910ac43510a9fcba423b1c9d7ac30	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3468-MEX-69			Germoplasma en conservación						8f9e36d6-4ef1-4211-b88b-1e079dbc0045					
87448c6794f4e63f69e2f125b19bbcfd	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9500-TLAX-443		AMA & SSC 111	Germoplasma en conservación						ab936e49-ab29-44e0-aa2e-9b4d045242d2					
87c04dbcd8b9f2ace71f06ac9ff6506e	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9712-GTO-384		BMDH 14	Germoplasma en conservación						b76dd75a-fb50-4299-b873-75da463f5f6d					
89e5e66664823b6615dd8d6d5db41b6d	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6153-PUE-393		PP 64	Germoplasma en conservación						434c622a-a73a-461a-9a52-56f629c07bb9					
8b3cfb081df5f7a1f5480595385ff1c7	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7206-SIN-148			Germoplasma en conservación						53a2762a-65ba-4808-8ad2-d1c7ff000118					
8d6b3a90f252d4e14d70a80a8e01ea46	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7481-TAMS-55		T 20	Germoplasma en conservación						67490094-10ae-44b7-8754-77b8f2cd6ad8					
8fb7639735cd39fcb3a96ba41a4869ab	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4411-MICH-281			Germoplasma en conservación						d6841a8c-c662-48f0-aecb-cc05dca88503					
90ac78b05c7a78f857894715b7ecf558	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6538-PUE-802		MFB & ARR 189	Germoplasma en conservación						695b9add-cb3d-48c1-8733-8749c23f9f27					
91b3005344dab20d4bb6d622258abc91	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		212-CAMP-168			Germoplasma en conservación						b1282c8e-e211-4307-9275-00ec4bfa20dc					
92d1cd550ef1e59bac0f70170e9546a9	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8664-YUC-168			Germoplasma en conservación						148e2672-7a35-4497-b41b-4d386fb40905					
92f8c77dc90d3f2a31cebb184b3bcb1c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5797-PUE-31			Germoplasma en conservación						1a372ff1-8573-4ad8-b907-60f4a4daf927					
9384b8d120c913b71108490a8414caa0	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6024-PUE-253			Germoplasma en conservación						9f3d8ca7-8a26-484b-89df-941257cad91c					
949d81b930aba380d8b02714cc56644c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6613-QRO-8			Germoplasma en conservación						3d3d498c-51ec-4688-a648-ce97d9e900e4					
9949eb4740931da64f017b5bcd3d7d5c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5110-NL-30		T 31	Germoplasma en conservación						579b9107-0979-4d8a-9b83-04ca2d9b4763					
9daa477a9f3d28608cf08d4220540880	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2106-GRO-32		EHX 938	Germoplasma en conservación						87c5fa15-dfe3-430e-9313-e8689a098cb2					
9fe9aa66c403394f245157c5a6935e4d	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8663-YUC-167			Germoplasma en conservación						11ec5205-a09f-49dc-9dec-e705d1361703					
a0225d11856dceb957b06c8bd5487dca	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		545-CHIS-311			Germoplasma en conservación						80564c4e-2781-4c08-9763-58997354f1fe					
a13e0f4f670600a40e39ff1549ad7219	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3810-MEX-410		FOH 38	Germoplasma en conservación						d03f2cf7-0e64-467b-9e72-c3b233029d08					
a2940d06370b40181d578321236c4c74	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7483-TAMS-57		T 22	Germoplasma en conservación						a14d0343-fd9b-48bd-9589-22b150952df9					
a418540170ab93161444a43bea003078	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3737-MEX-337		IIA 690	Germoplasma en conservación						e4504efe-63f6-41ea-b722-ef0c2707cf37					
a57279421d3415ab5cf69b334d4915e8	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1762			Germoplasma en conservación						a6773ac5-6be3-494e-af5b-72ec2428bee3					
a82b0b3bac3b714dd2de7cfe06f4bea1	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4378-MICH-250		IIA 1085	Germoplasma en conservación						a519fde5-b3e6-4b76-8795-dafb6c54229d					
a8a2eede469ff6d190ea5fd03213ac9c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		6315-PUE-555			Germoplasma en conservación						234f1419-7080-451c-adcc-fa2f2e83686f					
a91e6a071de22897f4ad6c2389eff1da	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8008-VER-99			Germoplasma en conservación						58c53a7d-5b16-45ff-9670-e26d13462e1e					
ab2a5a9a889aa2584b3098ea007b423b	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		538-CHIS-304			Germoplasma en conservación						91fc52ea-65ca-4204-8f58-8fb9f92e4d94					
b1386f8def7e41cc15c46a6128882d73	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		526-CHIS-292			Germoplasma en conservación						6a56db7a-cad5-4747-8683-e1a9fb943a76					
b2a8d8a999563a53a6e9bbf93fc325d1	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2165-GRO-90		EHX 3016	Germoplasma en conservación						561ec274-9543-4b14-a2fe-98cf13198dbe					
b3df58959a1f4d6764bec2ebfb4e58f7	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3720-MEX-320			Germoplasma en conservación						9928bb50-143b-490f-9534-9f6aee276c60					
b4d7f2552201b6b6d0f7be3265951eb0	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3176-JAL-461			Germoplasma en conservación						3a1a99dc-9ef7-4693-8695-3e2b8115c6c8					
b5ae05e15d027910e2eed61d5d791b5c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		761-CHIS-526		ROP 320	Germoplasma en conservación						aa165c60-0ea1-447b-8d6d-5595b922a10a					
ba5680fcb88646620cde83e977addbb5	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8108-VER-199		JJR 59	Germoplasma en conservación						3f20a87e-fa0a-4e97-946c-aab91773824f					
bc5c94aff25bb120e8208138ba1ab061	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2913-JAL-202A			Germoplasma en conservación						a8dfe744-9221-4afe-9299-e5f5b1d47f29					
bd64f8263799e43e5d8e9c91d4530fd9	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1559			Germoplasma en conservación						e729fc8f-6c17-4fa0-8d06-698f6a21ebcc					
bddeeece45ffa4fb317346ab7389fda9	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7530-TAMS-104			Germoplasma en conservación						1b0252b9-8292-4f6b-9f83-0cfb6e5002c6					
c03d14833fcf9e73fb1efbd180a1a9fa	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7261-SON-16			Germoplasma en conservación						4795602b-d3ef-4eb5-8ad3-e5de3dd5be81					
c19a92faebf9d1f2e0ccc721dfee4bda	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2528-HGO-67			Germoplasma en conservación						43a0b482-271d-4570-a4b7-07dcc88bfae3					
c227f06066ecc594f5b86c8796003abe	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8693-YUC-197			Germoplasma en conservación						9088b333-1024-4bc5-9dc6-f3ab26f727b7					
c55b232fe584b639fbc51784c7a82681	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1545			Germoplasma en conservación						8dd2f555-149a-4597-9aac-146ab460abc6					
c6501f57607963aab51f2a39188ce1ed	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3995-MEX-594		RAS 37	Germoplasma en conservación						3fb431e1-0071-43a6-bb1e-f0ff21da385e					
c6f602b9df6cfdbf872f0d66fed80efc	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1667			Germoplasma en conservación						044d3859-476e-4456-85e5-7dfcea5b86e6					
cf017e4ce817c5bcc27914ebc858d75f	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4004-MEX-603		RAS 45	Germoplasma en conservación						757cf892-400c-4a58-85aa-834d393335d8					
d62722a107a48cc38f0b429853adb2c4	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4001-MEX-600		RAS 42	Germoplasma en conservación						ae3eade2-a4a8-4b9c-834a-9ab22d7ae133					
d82803e9e26db14004b95318c0bd7077	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4250-MICH-124		EHX 4530	Germoplasma en conservación						9f1ca4d8-5954-47aa-ac5a-0ce42945401e					
d99af7e112bcc247992b212aca04003f	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1506			Germoplasma en conservación						449a1d0d-818f-41a7-8839-060c4428ff5f					
db77e203eacb8e8e32d11b7c20b71054	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9334-CHIS-760		ND 7949	Germoplasma en conservación						914c7f1c-08a3-4244-bd60-2e2304412c0c					
e0f5b72207fa03bc44d061dd7abb7a8c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2300-GRO-221			Germoplasma en conservación						ba5a4c4c-ee15-48bb-91e6-9b4df60cdfb9					
e3e29a98d0ff56e7c681b3e94c3ab4d2	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		98-CAMP-23C			Germoplasma en conservación						6bf8cdd8-290d-40ca-81eb-e0338abeea78					
e4862931852e94e60ebe813db6b6731c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		472-CHIS-238			Germoplasma en conservación						91b9bf92-072d-4618-94df-268236b6136a					
e5a31d97db00678fb131002a64c30036	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1777			Germoplasma en conservación						77bc57e2-91e5-4c1a-8c7d-1d6ff818ba41					
e706b6a4affd039905a45a56d3f5911b	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8874-ZAC-127			Germoplasma en conservación						7884aafa-6130-4902-be41-f56ca090a9c8					
e9557890e164459c9ede6dea6cf6788b	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2346-GRO-267			Germoplasma en conservación						97ab27b3-eabe-455d-8a40-7143d75338ad					
ea2c358e362c05cb3179bacabc910271	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4002-MEX-601		RAS 43	Germoplasma en conservación						dca8b04b-244a-4306-9c5c-88a933ebd703					
00afcfca83e2b3ab93150c98ce59ba81	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		203-CAMP-159			Germoplasma en conservación						9ce15813-bc3e-4c8d-a327-2c7b1d3f1817					
eea58b27bec50e926b8434330e898cad	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2163-GRO-88		EHX 3014	Germoplasma en conservación						5fb4e250-24b8-42b6-9b7e-233b5f05b8fd					
f1d4b7a4eb3fcc16e9bb826d2efb3743	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3528-MEX-128			Germoplasma en conservación						a7a6859b-e868-4a27-8873-5c30af6d1a10					
f24465d33a8c876eef7309fa913018ea	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1757			Germoplasma en conservación						fb81680d-97a4-4902-93b8-1135071480d2					
f371637ed64bd75d312c0f8728316d0f	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8205-VER-296			Germoplasma en conservación						fd97c8fa-4c05-465d-8009-94d117531262					
f492d3c3e09a4d2844ad0d477f42f711	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		7288-SON-43			Germoplasma en conservación						b2a4ef01-a7d5-4c02-aafa-4cf96e80e92f					
f5cbe58789f5bef68394a9c2751c9c75	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9129-SON-52			Germoplasma en conservación						189876ee-ee6e-464f-964f-3c3135ee1040					
f81d6d31a71e0242286dc0c3583f9f6e	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1752			Germoplasma en conservación						ccd9aaea-6b8e-4034-b685-ddcc4ce497c0					
f90b7df2bf513a976ad303d281894139	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4667-MOR-87			Germoplasma en conservación						df54ffdf-fc0e-4607-b0fe-4fa4020524ee					
fae27709ff82c24c33b51b3014b061e6	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9007-ZAC-260			Germoplasma en conservación						d3523b84-3cb0-4bd8-8e6d-aed332d0f62d					
fb8dd5b850f48baddc3cc9ed38ac6feb	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		117-CAMP-42C			Germoplasma en conservación						61097807-98cc-436b-bb14-ced75b04211c					
c735ffeebd41733f1522e49cc4d49268	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2009MAP070SLP		070	Germoplasma en conservación						ccddbe55-fe07-4f04-ad42-728f947802fd					
3b966ad78e572a12e7d86ae89f70f26e	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2009ACR092DGO		92	Germoplasma en conservación						7e73f3fd-6024-4015-883b-9cfd847e669e					
34ed0073609e4b7b9bfe16cc99837f3e	Organism			CIRNOC-INIFAP				NO APLICA		INIFAP2009JCJG07CHIH		07							f90c76a4-89bb-4f80-b535-b42fa7cc2e84					
26af412d63ebd3d85ad7d5a0f09b318a	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2009NOGM663GRO		663	Germoplasma en conservación						7142813d-0d07-4824-aeba-cea167e7fdad					
dddc312f7214b0c3b69c8faa6d2773d1	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2009ATC036MOR		36	Germoplasma en conservación						3488f1e5-694d-45b3-81a6-91541a712ad3					
05732887316cacdafc433241211dac09	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2010MSM497VER		497	Germoplasma en conservación						eeea8c51-00d8-4b66-b172-d107d2930921					
a3396e26f9ef36bc67d27abb20546169	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		URGBGM2010MSM463VER		463	Germoplasma en conservación						325af291-52cd-4d31-b14e-62b3cf39b9ad					
05b190300d0f4cd99620737a60c90f05	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1526			Germoplasma en conservación						76f46ea4-f1cb-48f2-b807-9b3a519eda67					
0004c0d795cf78a81e7e41fb7b9adef7	Organism			CIRPAS-INIFAP				BAGENO		11797-OAX-1626			Germoplasma en conservación						d9b0ac23-5b3d-47ba-9354-2878a1cbfff0					
000ac673fad14b0037e1ec163a629937	Organism			ECOSUR				CH		2002-1613-1			Germoplasma en conservación						a68631b9-7e9a-4c3f-aa6a-8e9feb1b078f					
0011bdaf3ee95d05ee5557b5d3255c4d	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8863-ZAC-116			Germoplasma en conservación						53fe7500-2483-4888-a330-25dc9bbb3fc4					
0018f2c1ad0186711b4f1b574c129cd4	Organism			CIRPAS-INIFAP				BAGENO		11896-OAX-1725			Germoplasma en conservación						312b4341-74a3-472a-bb56-cbc4c8a1090e					
001e56bfbb2e3106d2dbfe2e2ff451f4	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1631-DGO-171		EHX 15332	Germoplasma en conservación						e502df2c-540f-429f-8c6c-eb84e3ce9e6f					
00204de24dfc019096e3ec7a5981adfd	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1157-CHIH-222		EHX 15248	Germoplasma en conservación						8d3eadb0-e7ad-4b2a-b0b1-5d7e2c129d45					
00229d01e82659e6e1b27482d6880c1c	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2876-JAL-170		EHX 4378	Germoplasma en conservación						dc816f63-ea96-4440-ae39-7157a8da2d33					
00256f5c2d19e03a7a53f3f3e4a5d427	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5561-OAX-357		EHX 15736	Germoplasma en conservación						ec72d4b5-a59d-4495-a15b-1724a8d9a2bc					
0027a513ba46f1078ed6fd4d9a40104a	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5632-OAX-428		PRONDA 134	Germoplasma en conservación						a3a95969-9e63-4094-9332-48fd3025d338					
002e4f0fad1d6993cd130f60c42f2bc6	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4467-MICH-337		EHX 15573	Germoplasma en conservación						80f269e4-a281-4f13-a894-5fa14a8e80b2					
0037ea8be0dd5a78ea710103e64d32e4	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		9842-JAL-748		JLO 19	Germoplasma en conservación						4dfcf98a-6638-48be-a120-a89df4c13d33					
0039e78404c99fa40fbd4894e8122323	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		100-CAMP-25			Germoplasma en conservación						1719f8a6-1df9-40bc-827f-b2e0490667b2					
003b3bc4e3afc2b515f3c084dd59b9c3	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1943-GTO-212		JRPA 6	Germoplasma en conservación						f191b20b-3e3a-406c-be3b-c8474d3819f4					
138919283236d8c7044511cd7edd51df	Organism			ECOSUR				CH		2002-1210			Germoplasma en conservación						59d3d8bc-bc6c-442f-bd6a-4ffaf9d57607					
003e3c6e166b329f9eb22df48afc7d4a	Organism			CIMMYT				CIMMYT		10303-T.spp-1821-39			Germoplasma en conservación						21dc4f50-2bcd-40aa-91cc-a74ab6749daf					
0040d88dc67c6bab3f43d00411daa9b1	Organism			ECOSUR				CH		2002-0488-1			Germoplasma en conservación						0e87f8ef-a68a-4deb-80bf-c8039aef3303					
00411230c8a70bffd63a461f82bbc66f	Organism			ECOSUR				CH		2002-1563-1			Germoplasma en conservación						8a6a4ae2-53fd-4be2-a55b-536477804d6f					
00489ec8705e8b70f5e82c82fbdbf74a	Organism			ECOSUR				CH		2002-0771-1			Germoplasma en conservación						846d9ad6-5576-4eec-ba4c-85f707bfde9f					
00497ab8acfa56e0f5ab37cf0898b0a1	Organism			ECOSUR				CH		2000-0385-4			Germoplasma en conservación						7998091f-9a62-4219-b20a-251126b3574a					
