material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	gathering_event_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
09aa66ad11449e73e4841b700411e37d	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		78-CAMP-3			Germoplasma en conservación						660ae53e-a0e4-46f5-8fa9-b845aaf10e01					
1356d19654bc9af2f805270aadb0a72d	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4257-MICH-131		EHX 4584	Germoplasma en conservación						e8c46791-0118-4d8c-a031-b8a169e1004c					
1683aaeb23eaf8f9a59af98db99413bc	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1681			Germoplasma en conservación						56f2bbe8-e047-499e-8356-25c4d657a933					
193ea051002b4543c68fa87f4d6abb29	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8045-VER-136			Germoplasma en conservación						d334fe2d-cc22-4fc5-b9a0-779233c57468					
1ced623e8f8aa196498ed0fcde3c1960	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		1207-CHIH-272			Germoplasma en conservación						d0795052-c28c-4288-9c39-c96b2cd55d78					
1dd7316655e337b918c1da1d6cb4372a	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		4005-MEX-604		RAS 35	Germoplasma en conservación						863b11f2-1ea8-4861-b9f3-a95a4a9a27d4					
27058f8a82096a7c97352e3ae9851663	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8178-VER-269			Germoplasma en conservación						e1a286c4-7b14-4505-8161-7e95dd97d862					
2cac90ae118b560663634d459def5fca	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		2329-GRO-250			Germoplasma en conservación						52cc983f-8b4d-4b7e-a950-c147e881cafb					
2d66921d556f3087423ad487e0386fed	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		5109-NL-29		T 28	Germoplasma en conservación						ce32dde7-af1d-46eb-a132-821aa4f58797					
2e8cd7ddf0a878bdc45855841b52e014	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3738-MEX-338		IIA 691	Germoplasma en conservación						b4d57b44-1cb6-4e11-8b5c-bbbf394443ac					
2fafea1ef7d6ec78cfb72ad907a1c303	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		542-CHIS-308			Germoplasma en conservación						3d4a860d-73eb-4466-9ad4-e12935e3c0c9					
30dda999d4e7fe91d2bac5f3ca2ccdb0	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3195-JAL-480			Germoplasma en conservación						ea20362c-3eb0-48a0-8fe1-50257fc9a490					
31fe394b494bc08b10511bf4e9e0ceb7	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8208-VER-299			Germoplasma en conservación						f292bedd-b5a6-49fc-8d39-86a87181ff5e					
347dafff5bf9d9977a2ba12ba6a02d59	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3851-MEX-450			Germoplasma en conservación						9b394d88-8f56-453f-b64f-d13c1f13f831					
43c301e853ad4d7e2ab726b1ff777281	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		8132-VER-223			Germoplasma en conservación						289d6f61-b46f-4700-99e2-e62e4c96ad15					
48ef0aeaa4df2f35901ff3cc1fe74db3	Organism			CINVESTAV-IPN				UCG-CINVESTAV		1550			Germoplasma en conservación						90dd4d70-10eb-4868-8bc8-a95d43cd625f					
4f598b58fb7a7d828b7c3e0a44d3f95b	Organism			CIRCE-CEVAMEX-INIFAP				URG-BGM		3612-MEX-212			Germoplasma en conservación						574a2594-82c9-4c01-b98a-2e07aec1c55c					
