material_entity_id	material_entity_type	preparations	dispositions	institution_code	institution_id	collection_code	collection_id	owner_institution_code	catalog_number	record_number	recorder_by	recorder_by_id	associated_references	associated_secuences	other_catalog_numbers
0004c0d795cf78a81e7e41fb7b9adef7	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			11797-OAX-1626		F Humberto Castro García; Gerardo Villegas; Mateo Jiménez				
000ac673fad14b0037e1ec163a629937	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1613-1		Hugo Perales Rivera				
0011bdaf3ee95d05ee5557b5d3255c4d	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8863-ZAC-116		Abel Muñoz Orozco				
0018f2c1ad0186711b4f1b574c129cd4	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			11896-OAX-1725		Flavio Aragón Cuevas				
001e56bfbb2e3106d2dbfe2e2ff451f4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1631-DGO-171	EHX 15332	Efraím Hernández-Xolocotzi Guzmán				
00204de24dfc019096e3ec7a5981adfd	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1157-CHIH-222	EHX 15248	Efraím Hernández-Xolocotzi Guzmán				
00229d01e82659e6e1b27482d6880c1c	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2876-JAL-170	EHX 4378	Efraím Hernández-Xolocotzi Guzmán				
00256f5c2d19e03a7a53f3f3e4a5d427	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5561-OAX-357	EHX 15736	Efraím Hernández-Xolocotzi Guzmán				
0027a513ba46f1078ed6fd4d9a40104a	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5632-OAX-428	PRONDA 134					
002e4f0fad1d6993cd130f60c42f2bc6	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4467-MICH-337	EHX 15573	Efraím Hernández-Xolocotzi Guzmán				
0037ea8be0dd5a78ea710103e64d32e4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9842-JAL-748	JLO 19					
0039e78404c99fa40fbd4894e8122323	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			100-CAMP-25		Efraím Hernández-Xolocotzi Guzmán				
003b3bc4e3afc2b515f3c084dd59b9c3	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1943-GTO-212	JRPA 6	José Ron Parra				
003e3c6e166b329f9eb22df48afc7d4a	ORGANISM	Germoplasma en conservación		CIMMYT		CIMMYT			10303-T.spp-1821-39						
0040d88dc67c6bab3f43d00411daa9b1	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0488-1		Hugo Perales Rivera				
00411230c8a70bffd63a461f82bbc66f	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1563-1		Hugo Perales Rivera				
00489ec8705e8b70f5e82c82fbdbf74a	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0771-1		Hugo Perales Rivera				
00497ab8acfa56e0f5ab37cf0898b0a1	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2000-0385-4		Hugo Perales Rivera				
