material_entity_id	material_entity_type	preparations	dispositions	institution_code	institution_id	collection_code	collection_id	owner_institution_code	catalog_number	record_number	recorder_by	recorder_by_id	associated_references	associated_secuences	other_catalog_numbers
004b50bcd3da8739570f52c51bdea61e	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			11709-OAX-1538		F Humberto Castro García; Simón Méndez				
004e46c31e2a886fe1e5d7c34482662e	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1421		Hugo Perales Rivera				
004f12718837ad4a1b31cccfc8db64db	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4890-NAY-146	IIA 781					
005c81149104777d30b2b1ec6331391e	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4092-MEX-691		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
005f022e5adcfa5808be9acb63daa2c1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9715-GTO-387	BMDH 17					
005f2f0874c58f614045caa547864c50	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5016-NAY-272						
00605ec87bcd140cc1a004d63aea8ae1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8330-VER-447	MFB & ARR 135	José Manuel Fernández Brondo; Alberto Ramos Rodríguez				
00622df7ce1a7da5feb0f0b9fb58bc96	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4396-MICH-267	IIA 1109					
00630ea050da18fe6c87b380491ea019	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0660-1		Hugo Perales Rivera				
0063b8d5a73ee22392dc3609ece750e3	ORGANISM	Germoplasma en conservación		CIMMYT		CIMMYT			10290-T.spp-734-67						
0069e06508f77f11c0e979a0e88a70e8	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10113-JSG-MAS-AAE-275	JSG, MAS, AAE 275	José de Jesús Sánchez González; Aguilar				
006d01340dc244f6cfb9342793f6b408	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2743-JAL-42						
00730d215ca03d5ac03c0b9e8e3954c1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7382-SON-151	EHX 15062	Efraím Hernández-Xolocotzi Guzmán				
00731d044e41d10b13f14c577d4643e8	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			11804-OAX-1633		F Humberto Castro García; Gerardo Villegas; Mateo Jiménez				
007428fbcad2398ee789e7c8c2731c54	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1417-COL-10						
007fa65ab4e1ed23fd213b8d53ee7910	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8155-VER-246		A Vázquez				
008956d4cf6825c6c5b8c82a1ce5d25e	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4231-MICH-106	EHX 3059	Efraím Hernández-Xolocotzi Guzmán				
008bdf0683969e9eff1ac9718e8646f4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4363-MICH-235	IIA 1061					
008be0b60916c1f403077367d3e47d40	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6486-PUE-726		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
008cd4661e7c6c97ad4fe533b0e2d702	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6630-QRO-25		J Refugio Villa Moreno				
008ef0d6f4b9a256b7b98186c5b4381a	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1660-DGO-200	EHX 15369	Efraím Hernández-Xolocotzi Guzmán				
008f4a4efaa6cd76c0320faeaaa129a1	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1716-1		Hugo Perales Rivera				
0097a18c9f1c5f4bfbef33b044b91ce7	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2702-JAL-5						
00a03ab8694519ed6333a7bc6f06a8c5	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			11513-OAX-1342		Horacio Espinosa Paz				
00a0954bb8f1d10ec98a85eb6836d029	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6107-PUE-347	PP 17					
00a5813510cf635bed0f9ea47d7b9fa3	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5503-OAX-299	EHX 15770	Efraím Hernández-Xolocotzi Guzmán				
00aa63b7666746299d9b3ce6b42bd5b9	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1104-CHIH-169	EHX 15174	Efraím Hernández-Xolocotzi Guzmán				
00afcfca83e2b3ab93150c98ce59ba81	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			203-CAMP-159						
00b0c89f593547297ce12ef302fd0f2f	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2000-0280-3		Hugo Perales Rivera				
00b9d09b6fb74d4cde500ab82ef1270e	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			11702-OAX-1531		F Humberto Castro García; Simón Méndez				
00ba3180802c8c1dfe716a433c3d73e6	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1227-CHIH-292	EHX 16175	Efraím Hernández-Xolocotzi Guzmán				
00bf401cfcf8e1da1656dcda064c55af	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7880-TLAX-305	ARR 62	Alberto Ramos Rodríguez				
00bfa57362f0625aabe5cad516cf6c78	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5917-PUE-146		Hermilo Hugo Ángeles Arrieta				
00c3296c55508eb8a9397ff462c45736	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8415-VER-570	PRV, JAA, MSM, DA, RA, PS 36	Porfirio Ramírez Vallejo; Jesús Alcázar A.; Mauro Sierra Macías; Darío Aburto; Ricardo Arroyo; Pascual de los Santos; Mauro Balderas Muñoz; Francisco Ortíz; Cirilo Ortíz Ortíz; Alfonso Ramírez Fonseca				
00c7bf05631be7eca558a35df600c099	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2887-JAL-181		Amador Terán y Terán				
00cac3196d543c14e8b9954dea10f829	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			11209-OAX-1038		Flavio Aragón Cuevas; Nicolás Dillanes Ramírez; Simón Méndez				
00e1ef9c0e922f702642c7087e6aba2d	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9619-JAL-707	LOS 24	L Ordaz				
00e2136cf936d630c196b4cd34d85d87	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			3827-MEX-426	FOH 56	Francisco Obregón Hernández				
00eab558c095b02082d31d1cef181a56	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2000-0163-1		Hugo Perales Rivera				
00f6738362ae6d646a429506fd1111ae	ORGANISM	Germoplasma en conservación		CIRPAS-INIFAP		BAGENO			12075-OAX-1904		Flavio Aragón Cuevas				
00fc0b89e72c01d31c20c10248ca9f46	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1140		Hugo Perales Rivera				
00fe3e2bd9426eef2ac2a5ce28669f25	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			11257-OAX-1086		Flavio Aragón Cuevas; Nicolás Dillanes Ramírez; Simón Méndez				
00fee02979feb011aa2af8742ecc662b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9960-SLP-264	LZL 72	Luis Zamarrón Loredo				
0103490d4f3f5e234bb6dce1a5c7def5	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			11085-OAX-914		Flavio Aragón Cuevas; Fabián; Simón Méndez				
01085de243087d2de46caea6fbfa6092	ORGANISM	Germoplasma en conservación		CIMMYT		CIMMYT			10249-T.spp-1070-96						
010cc8d837a295911dde1b70de1632d2	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9231-MICH-511	ND 80					
01170530dd865b49efdc8fb331b803a8	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10943-OAX-772	J 103	Jaime Díaz				
01198d9373a05bb6b9f9ac32d442afe8	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0634-1		Hugo Perales Rivera				
01210d2b168cc1473e825bba761086b9	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2857-JAL-152		Efraím Hernández-Xolocotzi Guzmán				
012129763aeb6adbbda02d26fbb20096	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7949-VER-41						
012ab59a62f5b1a1b5ef778461e421dd	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10763-HGO-343		Yolanda Beltrán Vargas; Fidel Arellano Tolentino				
012c10c92dabbbafaba4424363a030eb	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5934-PUE-163		Hermilo Hugo Ángeles Arrieta				
013b94b758b14da7598bc179b9271e76	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6044-PUE-285	IIA 32					
013c4c1111c7f729562407dbf90888af	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1109-CHIH-174	EHX 15179	Efraím Hernández-Xolocotzi Guzmán				
013d985539de67a0e53ad49127a8325b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6672-QRO-67	IIA 233					
013ffe1c1b083ba850d5734f2a908162	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1265		Hugo Perales Rivera				
0149af14f0ec1d141beb2fbc6be61f90	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7033-SLP-181						
014d9b24547632889b6d0c755afaee89	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0841-1		Hugo Perales Rivera				
014de825f9ba1418a2f8cb45e4d66b25	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4395-MICH-266	IIA 1108					
0152c1f8b34d89f3dc2b67c57349f420	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			765-CHIS-530	ROP 325	Rafael Ortega Paczka				
0155adf2826b305e28f99fc99fdcef6c	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0145-1		Hugo Perales Rivera				
016063f6faea993cda03bdc813c12209	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0085-3		Hugo Perales Rivera				
01691fec13039b5d9be09efeb623f9ff	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10407-CHIH-398		Enrique Díaz Solís; Venancio Solano Romero				
0169955e2bf618b63fc11c98e7bb21cc	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1912-GTO-181		Rafael Ortega Paczka; José Luis Rodríguez Ontiveros; Jorge Covarrubias Prieto				
016f6698f71d05da59d0c944832eda71	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7712-TLAX-137		Abel Muñoz Orozco; Salvador Domínguez Sánchez; Palafox; de la Vega; Ávila; de Haro; Alfonso Macías; Alberto Flores; Francisco Ramírez; Pimentel				
016fd2aa537ba043ccc21ba3c6351c7a	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1301-COAH-17	AME 35	Anastasio Morales Esparza				
0170625fa7354b34b66a4ba98c5665b1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			2249-GRO-172	EHX 3299	Efraím Hernández-Xolocotzi Guzmán				
017580decaec974e986a63fbbb0bcc4d	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6111-PUE-351	PP 21					
01795f555b6463f035d875c7642cb522	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0112-1		Hugo Perales Rivera				
017ab1fd426e0238744f164bcc00f9ec	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2000-0060-5		Hugo Perales Rivera				
017c13e7da6ee6770dcc92c28e97f508	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6046-PUE-287	IIA 560					
0180d8d62e5a76b20a71871e3710e5c8	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			922-CHIS-687	ROP 595	Rafael Ortega Paczka				
01837b80b4f8f66ee166e1a0d628c7b2	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7972-VER-63		Isabel Kelly				
01845c8ca8b3825cb661dc50d7cc2355	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7254-SON-9						
0186cbdcf400731e64598d377101981c	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1712-DGO-252	ALJ 50	Antonio López Jaramillo				
018dd023904716067d1a12d13720d102	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4731-MOR-151		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
0190d138710f7e3a9da9a5c36386b7e0	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			597-CHIS-363		Rafael Ortega Paczka				
0192c28bc9f57727f934507606dcc58f	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9879-TAMS-163	IVF & PLT 15					
019b3dc2407fd032f288cc0bf5c1d566	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			11433-OAX-1262		Horacio Espinosa Paz				
019d095439741737022ed3f4c66ba4df	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			3888-MEX-487	ARR 29	Alberto Ramos Rodríguez				
01a0bfe37382b554903fdd17cdb3a62b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4871-NAY-127	IIA 748					
01a1c6858364cddbe23b0245459fb1e2	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7331-SON-100	EHX 15000	Efraím Hernández-Xolocotzi Guzmán				
01a2060ae831a1394e07914dbf31cc23	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8112-VER-203	JJR 63	José Jiménez Ramírez				
01a42ca0f71fa82f9f773e71f2ab1921	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4401-MICH-271						
01a4be20882b62ee1cc9875929287435	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8786-ZAC-42		Anastasio Morales Esparza				
01a4e132c69cbed3f1ff0df94bcac981	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1925-GTO-194		Rafael Ortega Paczka; José Luis Rodríguez Ontiveros; Jorge Covarrubias Prieto				
01a73e2db0f3842471a66d7ec8467747	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			506-CHIS-272	IIA 1217					
01a7bd6a0c7a0e38334fbe9bcc4bb8d2	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6245-PUE-485	PP 170					
01be247c9e135273986985117b0ce3fe	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1804-1		Hugo Perales Rivera				
01c16ea143b56f933f3ae6295ec13171	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6663-QRO-58						
01c3f69f645de60494cf5f1052361f3b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5241-OAX-41	EHX 790	Efraím Hernández-Xolocotzi Guzmán				
01c9f2ebcf760e27e845862406d12b0b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5950-PUE-179		Hermilo Hugo Ángeles Arrieta				
01cb8d25926b7fd6a603c69d68a1f268	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8236-VER-327	P 24					
01cd4f360b273a5e44fee8238745c020	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9538-TLAX-481	AMA & SSC 149					
01d6d489a13bb5e880c0b264dcb3254c	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6704-QRO-99		Alfredo Obregón Zepeda				
01e2731f4d9f87bac4e1094f91d826d7	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5218-OAX-19						
01e398dfcac8758c4a63105f26b7f1e7	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10910-OAX-739	FJ 70	Flavio Aragón Cuevas; Jaime Díaz				
01e8196ea511a06e138a4d16bb91b868	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			3371-JAL-656		Héctor López Neria				
01ed9f886299131921d08551bb6d9bee	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7202-SIN-144						
01f86c7fc44f2fb653cd6840403d0f8e	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6240-PUE-480	PP 165					
01faab237ce714c31c43c93b6f0d0432	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4681-MOR-101		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
01fbf4bb55cce65ca1d3e20b1e2ddbb3	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6403-PUE-643		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
020079156ac264baef76e6534555bc15	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4074-MEX-673		Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz				
0203f54a28b65e86250d9a5faaa46fc4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10986-OAX-815	FJS 146	Flavio Aragón Cuevas; Jaime Díaz; Suketoshi Taba				
02076dc183ca8c2b863936773f6d6215	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			8580-YUC-84	EHX 3982	Efraím Hernández-Xolocotzi Guzmán				
020cd3fd552b23eeb86548223e694078	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9863-ZAC-280	RZA 8	Ricardo José Zapata Altamirano				
020e1631132faaeccb10e3a91368899d	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1931-GTO-200		Rafael Ortega Paczka; José Luis Rodríguez Ontiveros; Jorge Covarrubias Prieto				
021084ba367f7ea765a08dadc6c38e83	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			6247-PUE-487	PP 172					
0213e81f0c6cf334ab3a0eba0a995e50	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1333-COAH-49	AME 66	Anastasio Morales Esparza				
02141655f46d4c8230ccdb4f598f05f1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			9053-VER-675	PRV, JAA, MSM, DA, RA, PS 25	Porfirio Ramírez Vallejo; Jesús Alcázar A.; Mauro Sierra Macías; Darío Aburto; Ricardo Arroyo; Pascual de los Santos; Mauro Balderas Muñoz; Francisco Ortíz; Cirilo Ortíz Ortíz				
02142a1142e596c9c68c2dc0a04c7017	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0487-1		Hugo Perales Rivera				
02142ffa3cbd619800f7254f868a3dd1	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7793-TLAX-218		Abel Muñoz Orozco; Salvador Domínguez Sánchez; Palafox; de la Vega; Ávila; de Haro; Alfonso Macías; Alberto Flores; Francisco Ramírez; Pimentel				
0215fa349cf8e79ca049e127c8673827	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1391-1		Hugo Perales Rivera				
021782329128c3f0ab5a93ba1a9dd713	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			5156-NL-76	CVM y estudiantes de UANL 32	Ciro Valdez Montoya				
021ab95d31d71493293044b964fd7496	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2000-0382-2		Hugo Perales Rivera				
021afbd421688014ca07056e38d3a87f	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7497-TAMS-71						
021dc2a210cd7c449d77d9699bce2707	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4799-NAY-54		Rogelio Ochoa Espinoza				
0223cc4ce96fd6df8405cd9061b28398	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7251-SON-6						
022a6261c4ab2f1ebb74242f2c7ae2c7	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			1746-GTO-16		Atanasio Cuevas Ríos; Félix Agramont Cota-Ayala; Roberto Osoro Alcalá				
02340ba1651c2bad8810e9e80ae05d1b	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			464-CHIS-230	EHX 1895	Efraím Hernández-Xolocotzi Guzmán				
02348c36d4621308ca96a36c646a5ee5	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4384-MICH-256	IIA 1093					
0237f0adcdafeb5ebf56bec5cdf80538	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-0725-2		Hugo Perales Rivera				
023918fe6b6fb42b941339ff2dd1f58d	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10525-CHIH-516		Venancio Solano Romero; Moisés Chávez Hernández				
024053abdccd56da03daf930b8e21aa4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			4397-MICH-268	IIA 1109	Abel Muñoz Orozco				
024297d02b8e00a7541b538b981ce3c4	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			10548-CHIH-539		Enrique Díaz Solís; Rigoberto Ponce Beltrán				
0244a32b87cffc085997f124df47e18e	ORGANISM	Germoplasma en conservación		ECOSUR		CH			2002-1627-1		Hugo Perales Rivera				
02456e614c7f15aa3474255a8e74fc60	ORGANISM	Germoplasma en conservación		CIRCE-CEVAMEX-INIFAP		URG-BGM			7060-SIN-2						
