verbatimLabel	preferredLabel
DNA_SAMPLE	DNA Sample
DNA Sample	DNA Sample
ORGANISM	Organism
Organism	Organism
PARTOFORGANISM	Part of Organism
PART_OF_ORGANISM	Part of Organism
Part of Organism	Part of Organism
ORGANISMPART	Part of Organism
ORGANISM_PART	Part of Organism
Organism Part	Part of Organism
