verbatimLabel	preferredLabel
MULTICELLULAR_ORGANISM	Multicellular Organism
MULTICELLULAR ORGANISM	Multicellular Organism
MULTICELLULARORGANISM	Multicellular Organism
Multicellular Organism	Multicellular Organism
MulticellularOrganism	Multicellular Organism
INDIVIDUAL	Multicellular Organism
Individual	Multicellular Organism
VIRUS	Virus
Virus	Virus
CLONE	Clone
Clone	Clone
PACK	Pack
Pack	Pack
COLONY	Colony
Colony	Colony
