verbatimLabel	preferredLabel
INDIVIDUALS	Individuals
Individuals	Individuals
% BIOMASS	% Biomass
% Biomass	% Biomass
Braun-Blanquet Scale	Braun-Blanquet Scale
BRAUN-BLANQUET SCALE	Braun-Blanquet Scale
