verbatimLabel	preferredLabel
not reported	not reported
reported complete	reported complete
reported incomplete	reported incomplete
notReported	not reported
reportedComplete	reported complete
reportedIncomplete	reported incomplete
NOT_REPORTED	not reported
REPORTED_COMPLETE	reported complete
REPORTED_INCOMPLETE	reported incomplete
