identification_id	identification_based_on_occurrence_id	identification_based_on_material_entity_id	identification_based_on_genetic_sequence_id	identification_based_on_media_id	identification_type	identification_type_iri	identification_type_vocabulary	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_remarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
9dc0c5fb-b12a-4089-9bf3-bfeeb72f4858	b719a3ba-ce7f-4380-9727-a38da9230ad6				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
1b3e9330-b96b-4af6-9857-c2276c2205c4	c450cb21-46ef-429d-8aa8-a1cda5b70aac				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
1c154a7d-6a61-434a-b465-0a763eb8eb17	49391f40-cafc-43de-87d9-ca21a7631151				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
a3d9cc10-7172-4621-a79f-ce33ba0565eb	4d01419b-d052-44c8-899f-68c150396af8				Observation				t	A				0000-0001-7072-0706					SALSP2	Animalia	Salmonidae	family	
7b7951e6-c406-463f-aeaf-a16d07d4e120	a7ff2504-e8cc-471a-acba-bf971f1d4f83				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
5d311ebe-19eb-4638-8fa0-0b197203962f	5256b27a-c751-4c55-b390-58cce3e98751				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
7fa5cafa-dd21-4714-990a-f298205a326b	8601b4d5-0674-43eb-8042-3a47759c02bd				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
ee4f9b98-b98c-4edf-8c11-67fbd4e8f099	22cda7c6-7a20-4410-9892-6aed8a7bd182				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
7485c2fd-034a-46fc-876a-276bad9900ac	99b9b04a-d824-4568-816f-df8665f98f39				Observation				t	A				0000-0001-7072-0706					SALSP2	Animalia	Salmonidae	family	
c390db0a-01be-4799-b243-f70bb21559e4	523a6343-53df-4123-bfdb-18b5b0464fa9				Observation				t	A				0000-0001-7072-0706					SALTRU	Animalia	Salmo trutta	species	
